"country","mu_lab","mu_rnn","sig_lab","sig_rnn","corr"
"AD",0.00162628143232299,4.47513092380952,0.00130246709732036,1.26824042504233,0.535060627784091
"AE",0.00139645670867536,0.650823135238095,0.00121706601494826,0.138254671988212,-0.919379062619813
"AT",0.00147187640983125,0.908939622857143,0.00171699548957694,0.304486524614579,0.317418928792036
"AU",0.00130841488390523,3.8314728047619,0.00114459642982946,0.444885444669139,0.0390815948287103
"CA",0.00146609080383519,3.18951384761905,0.00186656373507427,0.330367734312874,-0.394038085343449
"CH",0.000809767180548224,0.996557982380952,0.000431003876254023,0.143344109083607,0.492149284714718
"CN",0.00139260036059653,0.016416677452381,0.00111353917812309,0.0166554821272623,0.555953941322414
"CU",0.00118944295380372,1.15329139333333,0.0012434996605083,0.232129164235627,0.813533873891064
"CY",0.00100322552181468,1.86713079619048,0.000894548103319652,1.1412487695715,0.493428208735729
"CZ",0.00207411863350277,2.03031259047619,0.00151104987177568,0.242167313274432,0.701614487761087
"DE",0.00112862346118466,1.08038214,0.00112444831330898,0.225408782604899,0.644948141540034
"DK",0.000830202797700903,1.37129797380952,0.000840109727567301,0.49726061942333,0.154029976598451
"DO",0.00164000306036001,34.990049047619,0.00130291754734171,6.9565599054101,-0.776511614068248
"DZ",0.00153876643846086,4.50079435238095,0.00124632674211371,0.652516578809581,-0.00306701884260149
"EE",0.00112557122840289,0.244831203238095,0.00107787834682085,0.158515125486811,0.290707198483728
"FI",0.00101287197151983,0.675620227142857,0.00103049549144648,0.116710405534336,0.680589645903795
"FR",0.00202672337599531,2.43371980952381,0.00195120439741248,1.12297640040105,0.859135526028621
"GB",0.00118895025695992,3.18995785238095,0.000726961675241699,0.933772141453869,0.798249775520802
"GE",0.00121174908688361,8.54412113333333,0.0010423913665631,0.556859364543722,-0.391706006566444
"GR",0.00247032915804028,2.19289427857143,0.0018617057469764,1.07527986003509,0.84405513246337
"GY",0.00172120755675865,5.5145066875,0.00116745486389441,4.07013842011651,0.878176980071219
"HU",0.00222550121791409,0.485654488095238,0.00278463126054072,0.203466549448716,0.816427301357661
"ID",0.00159702535432691,7.84167763333333,0.00127712309856689,0.156430613121477,0.533026739733014
"IE",0.00169859399267237,1.51399858904762,0.00160483238429349,0.887567110100749,0.877608032473685
"IT",0.00110858883884623,3.20581175714286,0.000668773094868928,1.68160074986561,0.787480013571928
"JM",0.0017605854583292,1.72807781,0.00113700277912347,2.0440944541298,0.606191621400809
"JP",0.00593144621290466,1.06327535666667,0.00820100755344754,0.237880741343865,0.75287907565244
"KR",0.00155813420795709,0.505861534285714,0.00124694523430556,0.260130771543538,0.872095902945515
"LB",0.00130975561599216,7.72607817142857,0.00114316884079921,3.86224147124332,0.907248461112131
"LT",0.00182031628196843,0.402053202380952,0.00185399845334147,0.333434315440617,0.75403094147319
"LU",0.000803937758628004,0.440085030714286,0.000781246955398319,0.436651553444253,0.810155756643073
"LV",0.00105217754586651,0.409054662857143,0.00100669807607216,0.125579781905022,0.241986693149605
"MA",0.00151570701685512,5.40084285714286,0.00124477267002203,2.73799863566834,0.936972922234939
"MC",0.00490494761597662,5.96036843809524,0.00539690291168444,0.789614486203123,0.510318573000588
"ME",0.00160368750933787,25.0319303333333,0.00125730260831604,3.96122596829519,-0.751872493011589
"MN",0.00300736867357692,0.205029725,0.00075266226369348,0.0154169461381192,0.474653418665906
"NO",0.000946957668565789,0.589320772380952,0.00110102413963873,0.151356600124332,0.590039717536937
"NZ",0.00162996106218506,0.71965361047619,0.00127310976810083,0.53741544233305,0.870728881046885
"PL",0.00110930325256239,2.6941386952381,0.000654079807210186,0.690696550385418,0.787490350008354
"PT",0.00169132398055422,2.3108768047619,0.00166291626575464,0.246963852418716,0.24250448042322
"RW",0.00154167659886025,7.520563195,0.00118413331040304,0.0706909705273556,0.69474038766755
"SI",0.000767623200397521,2.0787203,0.00074478788642189,0.680630589622956,0.694984524674757
"SK",0.00162206363844952,0.673123965238095,0.00163741363533486,0.26673649405716,0.867880237334747
"SM",0.00187639217318994,0,0.00126657829778664,0,NA
"TH",0.00167866733772792,0.275770194285714,0.00146100277648014,0.0168841623966952,-0.701024079628668
"TN",0.00239874279883554,2.86208935238095,0.00247830265698143,0.521381896290953,0.633188926539788
"US",0.0027104597596993,32.2991889047619,0.00152873148091831,2.45211797373909,-0.777230124586196
"UY",0.00180361327209707,0.424608674736842,0.00129038957181503,0.116254138604475,-0.443669457208046
"VA",0.0013019302703554,0.5229945,0.000582108383003222,0,NA
