,ISO,Scores,Old_Scores
101,JPN,1.1726469993591309,0.9967156648635864
189,TJK,1.121498465538025,1.1266026496887207
48,CYP,1.100624680519104,0.5401911735534668
37,CIV,1.0649878978729248,1.4199116230010986
40,COG,1.0409605503082275,1.7840015888214111
87,HTI,1.0275135040283203,1.2336053848266602
70,GEO,0.9876692295074463,0.7244126796722412
178,SVK,0.9448384642601013,0.7385357618331909
142,NGA,0.9204061031341553,0.928592324256897
42,COM,0.8793870210647583,0.46732786297798157
117,LTU,0.8666306734085083,1.0387699604034424
99,JEY,0.8637263178825378,0.07183860242366791
165,RWA,0.7805670499801636,0.7851095199584961
111,LBR,0.7630798816680908,0.9042831063270569
184,SYR,0.7281168103218079,0.673101007938385
187,TGO,0.7244482636451721,0.4264548122882843
145,NOR,0.6989691257476807,0.5748592019081116
38,CMR,0.66194748878479,0.7614072561264038
167,SDN,0.6522539258003235,1.0307843685150146
207,YEM,0.6214770674705505,0.6960808038711548
2,AGO,0.5954129695892334,0.3671499192714691
114,LIE,0.5931777954101562,0.8468442559242249
135,MSR,0.5674560070037842,0.10691152513027191
63,FIN,0.5516564846038818,0.3599947392940521
88,HUN,0.5483285188674927,0.596595287322998
98,JAM,0.5196943283081055,0.5780338644981384
80,GRL,0.5153685212135315,0.10691152513027191
32,CAF,0.5057573914527893,1.3432753086090088
61,EST,0.46870240569114685,0.2539401352405548
119,LVA,0.46787580847740173,0.5647331476211548
170,SLE,0.45413580536842346,0.6556269526481628
175,SSD,0.45098525285720825,0.3936484158039093
107,KOR,0.44892528653144836,0.44701507687568665
191,TTO,0.44320377707481384,0.16123299300670624
30,BTN,0.42271941900253296,0.3016701340675354
45,CUB,0.3977920711040497,0.20121024549007416
192,TUN,0.3885330259799957,0.3564327657222748
39,COD,0.37562236189842224,0.3568584620952606
133,MOZ,0.36335963010787964,0.5036778450012207
100,JOR,0.361028790473938,0.5173277854919434
28,BRB,0.3332529664039612,0.1753043681383133
0,country,0.3312681019306183,1.9129188060760498
155,PNG,0.3305332064628601,0.1422232836484909
24,BLZ,0.3234217166900635,0.2737427353858948
16,BES,0.32033997774124146,0.25353720784187317
138,MYS,0.30607524514198303,0.2229822427034378
13,BDI,0.27824562788009644,0.21817530691623688
15,BEN,0.26103243231773376,0.2449929267168045
173,SOM,0.25971582531929016,0.25223472714424133
79,GRD,0.2525627613067627,0.10691152513027191
127,MLI,0.21364440023899078,0.2562047243118286
115,LKA,0.20962201058864594,0.29751765727996826
105,KHM,0.19115935266017914,0.17129261791706085
196,UGA,0.1736314743757248,0.14954952895641327
202,VCT,0.1722247153520584,2.1746835708618164
17,BFA,0.15710319578647614,0.1331980675458908
141,NER,0.15222309529781342,0.1395135372877121
147,NZL,0.14737392961978912,0.18663470447063446
36,CHN,0.14701668918132782,0.1262553185224533
206,VNM,0.13874734938144684,0.11361591517925262
188,THA,0.13676773011684418,0.1350223273038864
64,FJI,0.13155107200145721,0.11467410624027252
131,MNG,0.1278034895658493,0.24139977991580963
194,TWN,0.11713303625583649,0.11211104691028595
129,MMR,0.11250530183315277,0.12036044895648956
136,MUS,0.1096898764371872,0.1205950528383255
109,LAO,0.10961766541004181,0.10691152513027191
186,TCD,0.1071331650018692,0.13012947142124176
190,TLS,0.1069115549325943,0.1069115549325943
29,BRN,0.10691152513027191,0.10691152513027191
161,PYF,0.10691152513027191,0.10691152513027191
59,ESH,0.10691152513027191,-0.7940257787704468
52,DMA,0.10691152513027191,0.10691152513027191
47,CYM,0.10691152513027191,0.1414758712053299
65,FLK,0.10691152513027191,0.10691152513027191
71,GGY,0.10691152513027191,0.10691152513027191
195,TZA,0.10691152513027191,0.10691152513027191
77,GNQ,0.10691152513027191,0.10691152513027191
201,VAT,0.10691152513027191,0.10691152513027191
90,IMN,0.10691152513027191,0.10691152513027191
106,KNA,0.10691152513027191,0.10691152513027191
140,NCL,0.10691152513027191,0.017707061022520065
3,AIA,0.10691152513027191,0.10691152513027191
204,VGB,0.10691152513027191,0.10691152513027191
58,ERI,0.08097247779369354,-0.006573636084794998
46,CUW,0.034522365778684616,0.23025237023830414
172,SMR,0.005825262516736984,0.8875187039375305
76,GNB,-0.0014484114944934845,0.61370849609375
113,LCA,-0.006804157048463821,-0.006804157048463821
84,HKG,-0.03252984955906868,-0.03252984955906868
183,SYC,-0.9005208611488342,1.912718653678894
128,MLT,,0.2557252049446106
