,ISO,Scores,Old_Scores
153,PHL,2.018380880355835,1.8325368165969849
143,NLD,1.888098955154419,2.425304651260376
123,MDV,1.8183401823043823,1.8997571468353271
85,HRV,1.8145781755447388,0.0973672866821289
88,IDN,1.8108984231948853,1.839827299118042
129,MNE,1.7936971187591553,1.4697569608688354
9,ATG,1.7185664176940918,0.04429459571838379
138,NAM,1.7098335027694702,0.3644063472747803
119,MAR,1.6934112310409546,1.0079126358032227
202,VEN,1.6861764192581177,1.38496994972229
44,CRI,1.6849364042282104,3.2426605224609375
144,NOR,1.6761772632598877,1.1164884567260742
111,LBY,1.6726118326187134,0.7484164237976074
188,TJK,1.642439842224121,1.7292150259017944
204,VIR,1.6210243701934814,0.992607593536377
199,UZB,1.6184635162353516,1.3762314319610596
168,SGP,1.577568531036377,1.5862159729003906
15,BEN,1.4325531721115112,1.4836759567260742
184,TCA,1.3819293975830078,0.04429459571838379
178,SVN,1.3777799606323242,0.18000292778015137
94,ISL,1.3448750972747803,1.0498504638671875
42,COM,1.2778005599975586,6.1368303298950195
34,CHE,1.2690894603729248,1.7677115201950073
74,GIN,1.2148211002349854,1.539974331855774
142,NIC,1.203141212463379,1.9870086908340454
31,BWA,1.1978871822357178,0.8577175140380859
102,KEN,1.176816463470459,1.0313596725463867
109,LBN,1.1120491027832031,0.3787071704864502
98,JEY,1.0531978607177734,4.370177268981934
141,NGA,0.9914000034332275,1.1209824085235596
148,OWID_KOS,0.9688029289245605,1.2561938762664795
197,URY,0.936288595199585,0.13618922233581543
127,MLT,0.9351379871368408,1.136728048324585
169,SLE,0.8542513847351074,1.2395055294036865
63,FIN,0.8205451965332031,0.487166166305542
136,MWI,0.7915911674499512,0.37137579917907715
160,PYF,0.7865660190582275,0.04429459571838379
110,LBR,0.7846980094909668,1.4278783798217773
206,YEM,0.7079148292541504,1.6144492626190186
39,COD,0.7051417827606201,0.3590352535247803
122,MDG,0.5962321758270264,0.13791179656982422
30,BTN,0.5796082019805908,0.2740306854248047
208,ZMB,0.5260801315307617,0.25247859954833984
77,GNQ,0.45812368392944336,9.464801788330078
47,CYM,0.45557498931884766,2.862133741378784
62,ETH,0.45207905769348145,0.1540541648864746
115,LSO,0.4497377872467041,0.04429459571838379
24,BLZ,0.4270198345184326,0.15216875076293945
177,SVK,0.42181944847106934,0.21268558502197266
174,SSD,0.3735964298248291,0.9168741703033447
99,JOR,0.35071778297424316,0.2176363468170166
61,EST,0.31957316398620605,0.21519827842712402
78,GRC,0.3121509552001953,0.6517317295074463
97,JAM,0.2926037311553955,0.7147672176361084
171,SMR,0.2800934314727783,0.8532352447509766
172,SOM,0.25939011573791504,0.18406438827514648
164,RWA,0.2569453716278076,0.03603982925415039
87,HUN,0.2300572395324707,0.5585095882415771
116,LTU,0.21192312240600586,0.8361086845397949
209,ZWE,0.20748591423034668,0.35261988639831543
183,SYR,0.20692229270935059,-0.0455172061920166
70,GEO,0.1620182991027832,0.3608882427215576
190,TTO,0.14332365989685059,0.07882213592529297
46,CUW,0.13920259475708008,0.2629537582397461
10,AUS,0.12945246696472168,0.029778480529785156
100,JPN,0.12211990356445312,0.20749330520629883
75,GMB,0.11013221740722656,0.17699551582336426
130,MNG,0.10109543800354004,-0.00901937484741211
135,MUS,0.09742903709411621,0.04429459571838379
104,KHM,0.09487152099609375,0.0462343692779541
132,MOZ,0.09018182754516602,0.027726173400878906
5,AND,0.08949398994445801,2.087179660797119
48,CYP,0.08343267440795898,0.550990104675293
17,BFA,0.07820653915405273,0.037474870681762695
106,KOR,0.07039594650268555,0.1790316104888916
45,CUB,0.07004523277282715,0.2362654209136963
25,BMU,0.06841278076171875,1.9472389221191406
185,TCD,0.06432700157165527,0.09842181205749512
13,BDI,0.06395649909973145,-0.37578868865966797
187,THA,0.05419158935546875,0.05380535125732422
154,PNG,0.048542022705078125,0.04429459571838379
36,CHN,0.04561328887939453,0.04509139060974121
205,VNM,0.04467439651489258,0.054650306701660156
193,TWN,0.04462695121765137,0.04526519775390625
200,VAT,0.04429459571838379,0.04429459571838379
189,TLS,0.04429459571838379,0.04429459571838379
201,VCT,0.04429459571838379,0.24922490119934082
203,VGB,0.04429459571838379,0.04429459571838379
182,SYC,0.04429459571838379,0.04429459571838379
181,SXM,0.04429459571838379,0.04429459571838379
194,TZA,0.04429459571838379,0.04429459571838379
0,country,0.04429459571838379,0.04429459571838379
80,GRL,0.04429459571838379,0.04429459571838379
89,IMN,0.04429459571838379,0.04429459571838379
3,AIA,0.04429459571838379,0.04429459571838379
16,BES,0.04429459571838379,0.04429459571838379
21,BHS,0.04429459571838379,0.07595109939575195
28,BRB,0.04429459571838379,0.0876307487487793
29,BRN,0.04429459571838379,0.37477946281433105
52,DMA,0.04429459571838379,0.04429459571838379
64,FJI,0.04429459571838379,0.04429459571838379
65,FLK,0.04429459571838379,0.04429459571838379
67,FRO,0.04429459571838379,0.04429459571838379
71,GGY,0.04429459571838379,0.04429459571838379
73,GIB,0.04429459571838379,0.04429459571838379
79,GRD,0.04429459571838379,0.04429459571838379
105,KNA,0.04429459571838379,0.04429459571838379
108,LAO,0.04429459571838379,0.04429459571838379
112,LCA,0.04429459571838379,0.04429459571838379
113,LIE,0.04429459571838379,0.04429459571838379
139,NCL,0.04429459571838379,0.04429459571838379
134,MSR,0.04429459571838379,0.04429459571838379
131,MNP,0.04429459571838379,0.04429459571838379
195,UGA,0.03636670112609863,0.10184741020202637
128,MMR,0.035140275955200195,0.0459136962890625
137,MYS,0.02859973907470703,0.018918991088867188
140,NER,0.028484344482421875,-0.02595663070678711
191,TUN,0.016956090927124023,0.12862110137939453
146,NZL,-0.012913227081298828,0.03142571449279785
114,LKA,-0.025768518447875977,0.11122298240661621
126,MLI,-0.029263973236083984,0.3999788761138916
2,AGO,-0.03900861740112305,0.08893942832946777
58,ERI,-0.11827492713928223,0.7493128776550293
118,LVA,-0.12439846992492676,0.9485070705413818
186,TGO,-0.1607809066772461,0.09322166442871094
